date,imports_russia,exports_russia,imports_china,exports_china,imports_usa,exports_usa,oil_price,usd_inr,gdp_india,gdp_russia,gdp_china,gdp_usa,trade_deficit,trade_deficit_next
2012-05,433387449.786,217467871.675,4591290111.748,1399234454.027,2398626456.034,3433515618.339,110.34,56.22800064086914,1.83,2.21,8.67,16.25,2373086073.5270004,2368072681.9609995
2012-06,337379133.985,171725759.603,4369168357.649,1010273100.307,2036584873.072,3193060822.835,95.16,55.50299835205078,1.83,2.21,8.67,16.25,2368072681.9609995,2880097710.066
2012-07,297020923.321,180858427.716,4472877944.242,926702715.438,2311873041.794,3094113056.137,102.62,55.42300033569336,1.83,2.21,8.67,16.25,2880097710.066,3106988798.070001
2012-08,381756725.911,205326259.322,4528550816.06,931711125.107,2271747638.01,2938028997.482,113.36,55.62799835205078,1.83,2.21,8.67,16.25,3106988798.070001,3436283645.1189995
2012-09,501692625.438,175893226.097,4773235536.087,794191252.273,2123192087.474,2991752125.51,112.86,52.847999572753906,1.83,2.21,8.67,16.25,3436283645.1189995,3388349718.152
2012-10,383465196.884,171912105.321,4382844870.211,877623953.088,2522414330.7,2850838621.234,111.71,53.95800018310547,1.83,2.21,8.67,16.25,3388349718.152,2768965445.3150005
2012-11,346761657.393,163336355.307,4125227763.246,1063485974.572,2164368029.005,2640569674.45,109.06,54.8380012512207,1.83,2.21,8.67,16.25,2768965445.3150005,2270313970.573
2012-12,373922262.562,214048936.197,4224684853.154,1339267201.679,1918422600.343,2693399607.61,109.49,54.75299835205078,1.83,2.21,8.67,16.25,2270313970.573,2156643062.0230007
2013-01,287142723.234,181558808.958,4396980221.562,1356065305.504,1921320518.212,2911176286.523,112.96,53.303001403808594,1.86,2.29,9.74,16.84,2156643062.0230007,1590749836.0229998
2013-02,206964156.759,233498574.056,4030375901.001,1260984244.197,1881728274.578,3033835678.062,116.05,53.858001708984375,1.86,2.29,9.74,16.84,1590749836.0229998,1693696501.0480003
2013-03,302041572.663,209215817.329,4200423731.94,1170279143.505,2002253750.685,3431527593.406,108.47,54.27799987792969,1.86,2.29,9.74,16.84,1693696501.0480003,1890568054.6139991
2013-04,258879926.736,170181094.904,3761951710.377,789391676.227,1977776135.138,3148466946.506,102.25,54.22800064086914,1.86,2.29,9.74,16.84,1890568054.6139991,1556321650.3909988
2013-05,260044251.051,175851370.102,4242927669.648,823542626.093,1860844013.667,3808100287.78,102.56,56.37799835205078,1.86,2.29,9.74,16.84,1556321650.3909988,2552622308.4889994
2013-06,432025104.63,184183206.823,4121696468.78,825267832.693,2057291081.615,3048939307.02,102.92,59.5260009765625,1.86,2.29,9.74,16.84,2552622308.4889994,2975658637.8199997
2013-07,391826455.972,183779550.228,4410186149.332,894298356.007,2497853575.798,3246129637.047,107.93,60.80799865722656,1.86,2.29,9.74,16.84,2975658637.8199997,2320132183.5220003
2013-08,250867265.594,182775454.495,4945585453.793,1064867258.995,1834720270.934,3463398093.309,111.28,65.697998046875,1.86,2.29,9.74,16.84,2320132183.5220003,1451308125.8830004
2013-09,310003915.103,175789909.395,4292705714.673,1288360319.543,1612655909.008,3299907183.963,111.6,62.90999984741211,1.86,2.29,9.74,16.84,1451308125.8830004,1866518374.328001
2013-10,330965414.553,156847526.566,4790702149.56,1481742173.755,1785041575.261,3401601064.725,109.08,61.31999969482422,1.86,2.29,9.74,16.84,1866518374.328001,1016764501.5290004
2013-11,272960941.026,139859910.391,3963775025.258,1744326737.368,1573865415.551,2909650232.547,107.79,62.391998291015625,1.86,2.29,9.74,16.84,1016764501.5290004,1143891544.0270004
2013-12,470897293.165,211658850.423,4134420193.534,1756774525.742,1569408278.667,3062400845.174,110.76,61.779998779296875,1.86,2.29,9.74,16.84,1143891544.0270004,1432037889.394
2014-01,301266854.04,188156041.512,4656349184.535,1665448247.167,1552995823.79,3224969684.292,108.12,62.310001373291016,2.04,2.06,10.67,17.55,1432037889.394,1308402758.5670004
2014-02,328062415.211,158142928.021,3754994631.676,1138870449.229,1525756708.618,3003397619.688,108.9,62.02000045776367,2.04,2.06,10.67,17.55,1308402758.5670004,507891255.9749994
2014-03,280954943.905,214218005.163,3840421389.799,1287837130.217,1611469190.996,3722899133.345,107.48,59.84000015258789,2.04,2.06,10.67,17.55,507891255.9749994,1404336213.2559996
2014-04,454265018.858,178578867.305,4248945668.561,1137990050.453,1514850221.858,3497155778.263,107.76,60.417999267578125,2.04,2.06,10.67,17.55,1404336213.2559996,2185497901.811
2014-05,477562480.092,170257939.253,4987959382.796,984374319.791,1577904899.226,3703296601.259,109.54,58.900001525878906,2.04,2.06,10.67,17.55,2185497901.811,2651042610.045
2014-06,364501527.015,164933192.475,4518888532.102,840167270.73,2155052701.452,3382299687.319,111.8,60.03799819946289,2.04,2.06,10.67,17.55,2651042610.045,2150747365.917
2014-07,343455301.15,217558589.401,4919958013.67,869160728.108,1797516073.345,3823462704.739,106.77,60.25,2.04,2.06,10.67,17.55,2150747365.917,2366359127.17
2014-08,339910591.991,189825004.911,5414868396.54,977179718.633,1603721696.357,3825136834.174,101.61,60.51300048828125,2.04,2.06,10.67,17.55,2366359127.17,3106046400.2910004
2014-09,371222909.453,163637057.091,5559813511.614,923271855.262,1978763866.894,3716844975.317,97.09,61.553001403808594,2.04,2.06,10.67,17.55,3106046400.2910004,2629404934.108
2014-10,382652402.205,163133687.263,5224324864.655,972275902.981,1880240220.305,3722402962.813,87.43,61.43299865722656,2.04,2.06,10.67,17.55,2629404934.108,3302502798.535
2014-11,320404128.707,150478434.04,5474554634.02,1218777810.244,2223082549.842,3346282269.75,79.44,61.85300064086914,2.04,2.06,10.67,17.55,3302502798.535,2848704367.427
2014-12,256136216.448,257618937.107,5665806966.116,1265150447.404,1968447855.263,3518917285.889,62.34,63.37799835205078,2.04,2.06,10.67,17.55,2848704367.427,2382792258.414999
2015-01,342032709.631,122206425.098,4871969795.209,880179267.334,1568276022.264,3397100576.257,47.76,62.01300048828125,2.1,1.36,11.28,18.21,2382792258.414999,2536198879.794
2015-02,198342500.182,115238594.692,4916812980.438,868331724.45,1560940859.055,3156327140.739,58.1,61.75400161743164,2.1,1.36,11.28,18.21,2536198879.794,2099242669.1010008
2015-03,396807233.767,202997495.484,4599788545.727,980416556.293,1788461461.056,3502400519.672,55.89,62.50899887084961,2.1,1.36,11.28,18.21,2099242669.1010008,2671251379.0390005
2015-04,350450424.178,119002536.662,4982747614.061,827638355.009,1646185229.922,3361490997.451,59.52,63.44200134277344,2.1,1.36,11.28,18.21,2671251379.0390005,2120901407.085001
2015-05,388001539.802,109130400.22,4699343812.701,803475215.188,1660352591.371,3714190921.381,64.08,63.82500076293945,2.1,1.36,11.28,18.21,2120901407.085001,3297176677.1540003
2015-06,494806418.175,129255820.127,5019739122.907,747549979.356,1844775837.203,3185338901.648,61.48,63.7239990234375,2.1,1.36,11.28,18.21,3297176677.1540003,2839666865.9240007
2015-07,410604291.857,130778797.255,5193090099.185,667092059.254,1734905343.478,3701062012.087,56.56,64.11799621582031,2.1,1.36,11.28,18.21,2839666865.9240007,3297617230.2760005
2015-08,366370842.324,121801736.594,5448611873.568,745304357.262,1757934413.208,3408193804.968,46.52,66.14299774169922,2.1,1.36,11.28,18.21,3297617230.2760005,4147216735.262999
2015-09,423411023.676,147539178.031,6158161892.932,791802578.652,1795272385.129,3290286809.791,47.62,65.91999816894531,2.1,1.36,11.28,18.21,4147216735.262999,3114973853.2700005
2015-10,320334908.121,140481696.157,5367967856.55,702617810.704,1731590544.788,3461819949.328,48.43,65.44400024414062,2.1,1.36,11.28,18.21,3114973853.2700005,2936729099.878001
2015-11,350700249.086,120376105.427,4780163037.166,762964141.185,1554301117.017,2865095056.779,44.27,66.9000015258789,2.1,1.36,11.28,18.21,2936729099.878001,3533922621.9939995
2015-12,466977440.134,148226931.142,5378788554.228,774492149.584,1773694713.573,3162819005.215,38.01,66.45500183105469,2.1,1.36,11.28,18.21,3533922621.9939995,2794062632.337
2016-01,236615919.094,134667325.756,5110311444.349,589635394.793,1638411268.311,3466973278.868,30.7,68.09300231933594,2.29,1.28,11.46,18.7,2794062632.337,4031441912.7209992
2016-02,384746041.282,132962350.527,5103678222.9,652203435.526,2513072237.854,3184888803.262,32.18,68.7300033569336,2.29,1.28,11.46,18.7,4031441912.7209992,2184253976.342
2016-03,381398766.916,153906611.325,4790287517.142,781832837.093,1441395174.629,3493088033.927,38.21,66.36799621582031,2.29,1.28,11.46,18.7,2184253976.342,1208941573.519
2016-04,511027886.635,133738651.788,3552264275.768,671438162.183,1210528787.786,3259702562.699,41.58,66.41799926757812,2.29,1.28,11.46,18.7,1208941573.519,1920826419.901
2016-05,367168555.551,216231981.067,4611318682.319,733185027.096,1477628985.327,3585872795.133,46.74,67.13300323486328,2.29,1.28,11.46,18.7,1920826419.901,2935269132.0200005
2016-06,348473979.341,161358209.877,5312202710.876,637659177.192,1469696563.022,3396086734.15,48.25,67.41600036621094,2.29,1.28,11.46,18.7,2935269132.0200005,2760730530.7140007
2016-07,400569489.875,135277375.202,4998311163.949,599958964.415,1798522157.856,3701435941.349,44.95,66.64800262451172,2.29,1.28,11.46,18.7,2760730530.7140007,2917906605.329
2016-08,319284730.265,131563916.034,5357934707.283,566309233.031,1526948640.841,3588388323.995,45.84,67.12660217285156,2.29,1.28,11.46,18.7,2917906605.329,3045445358.135
2016-09,423921579.403,155133075.0,5337166516.823,749388552.857,1793968754.571,3605089864.805,46.57,66.81629943847656,2.29,1.28,11.46,18.7,3045445358.135,3034181872.1969995
2016-10,567628161.02,151777451.261,5658225297.734,701196225.888,1931930747.385,4270628656.793,49.52,66.78140258789062,2.29,1.28,11.46,18.7,3034181872.1969995,2731571831.652
2016-11,433850393.997,138534807.204,4814557369.532,1068417840.936,1657716633.85,2967599917.587,44.73,68.60800170898438,2.29,1.28,11.46,18.7,2731571831.652,3337192693.627001
2016-12,410029908.449,169042498.946,5823814366.548,1159334277.247,1917972627.556,3486247432.733,53.31,67.9448013305664,2.29,1.28,11.46,18.7,3337192693.627001,2546678171.6480007
2017-01,391624435.123,143130127.074,5210011432.219,1024553438.367,1484352721.005,3371626851.258,54.58,67.82099914550781,2.65,1.57,12.54,19.48,2546678171.6480007,2589790175.6080008
2017-02,556155920.008,173180891.557,4753702997.179,989519503.666,1745542061.197,3302910407.553,54.87,66.69319915771484,2.65,1.57,12.54,19.48,2589790175.6080008,3014024273.1759996
2017-03,817161155.986,215749755.138,5663291651.149,1214879298.852,1959349883.768,3995149363.737,51.59,64.79000091552734,2.65,1.57,12.54,19.48,3014024273.1759996,3751691266.259001
2017-04,713301221.686,192469566.612,5901590751.555,975786460.075,2007964532.449,3702909212.744,52.31,64.25830078125,2.65,1.57,12.54,19.48,3751691266.259001,3770234034.503
2017-05,869199009.932,168301327.898,5936716171.277,723816510.991,1993968883.293,4137532191.11,50.33,64.61859893798828,2.65,1.57,12.54,19.48,3770234034.503,4150466257.448
2017-06,742528763.681,176644639.069,6236882829.923,824189116.659,1976799177.01,3804910757.438,46.37,64.78510284423828,2.65,1.57,12.54,19.48,4150466257.448,3805300420.392
2017-07,732563040.145,189812348.264,6007655690.8,826216523.303,1824476091.867,3743365530.853,48.48,64.12349700927734,2.65,1.57,12.54,19.48,3805300420.392,4158411606.518
2017-08,554379561.729,164120506.647,6482790011.03,937894873.789,2019909694.401,3796652280.206,51.7,63.976200103759766,2.65,1.57,12.54,19.48,4158411606.518,3517467119.278001
2017-09,560717601.353,183623427.116,6934088844.717,1147896107.336,1869428618.909,4515248411.249,56.15,65.36000061035156,2.65,1.57,12.54,19.48,3517467119.278001,3965835309.366001
2017-10,675260992.269,183303038.69,5908906595.567,1224840446.184,2362503187.635,3572691981.231,57.51,64.84239959716797,2.65,1.57,12.54,19.48,3965835309.366001,3864328557.007001
2017-11,772828261.243,156022928.442,6214743116.224,1329886499.029,2352630672.517,3989964065.506,62.71,64.41480255126953,2.65,1.57,12.54,19.48,3864328557.007001,4237452700.716
2017-12,602737380.224,193727733.42,6718376603.599,1269733761.119,2505982394.067,4126182182.635,64.37,63.84080123901367,2.65,1.57,12.54,19.48,4237452700.716,4208685923.664999
2018-01,624729874.527,178570146.279,6847848380.984,1069725493.849,1989769543.658,4005366235.376,69.08,63.769901275634766,2.7,1.66,14.15,20.53,4208685923.664999,3791582584.006999
2018-02,734956441.648,180939051.087,6238926477.837,1188407132.485,2108454720.534,3921408872.44,65.32,64.91000366210938,2.7,1.66,14.15,20.53,3791582584.006999,3874221279.348999
2018-03,907024512.176,229162487.772,6773241337.386,1584256615.175,2591313279.577,4583938746.843,66.02,65.0698013305664,2.7,1.66,14.15,20.53,3874221279.348999,2391194694.7669992
2018-04,459303120.676,166864490.697,4871739081.25,1166257998.806,2507476031.941,4114201049.597,72.11,66.61000061035156,2.7,1.66,14.15,20.53,2391194694.7669992,3561927556.2320004
2018-05,625652094.886,164458292.54,6118638626.547,1336442453.191,2899300190.64,4580762610.11,76.98,67.43000030517578,2.7,1.66,14.15,20.53,3561927556.2320004,4356634313.2039995
2018-06,476775221.167,173436058.819,6372365459.416,1312556142.433,3130108001.546,4136622167.673,74.41,68.79669952392578,2.7,1.66,14.15,20.53,4356634313.2039995,3828386112.028
2018-07,503121326.045,215391700.669,6094364697.241,1143515294.374,2886553729.728,4296746645.943,74.25,68.68499755859375,2.7,1.66,14.15,20.53,3828386112.028,4530281108.601
2018-08,284118337.278,230783679.78,6480862617.143,1255508309.29,3937143123.528,4685550980.278,72.53,71.40499877929688,2.7,1.66,14.15,20.53,4530281108.601,3373587431.7679996
2018-09,416645329.03,182743203.359,6473378204.748,1409570264.714,2575381016.917,4499503650.854,78.89,72.51000213623047,2.7,1.66,14.15,20.53,3373587431.7679996,3145659305.547001
2018-10,502170650.029,183663480.865,6191332165.566,1494084907.37,2698362337.091,4568457458.904,81.03,73.6500015258789,2.7,1.66,14.15,20.53,3145659305.547001,3409261770.823
2018-11,548883136.599,205684994.117,5771610420.433,1796429922.799,2945366225.52,3854483094.813,64.75,69.91999816894531,2.7,1.66,14.15,20.53,3409261770.823,2526488911.6830006
2018-12,766358422.391,220514596.011,5527231562.537,1557335638.647,2386647233.294,4375898071.881,57.36,69.92250061035156,2.7,1.66,14.15,20.53,2526488911.6830006,3328822235.1360016
2019-01,375047907.473,206485457.933,6224258154.857,1224506864.878,2672049497.043,4511541001.426,59.41,71.12000274658203,2.84,1.69,14.56,21.38,3328822235.1360016,2454247310.5150013
2019-02,323836493.369,213120068.096,5122692679.253,1297100474.941,2705031094.487,4187092413.557,63.96,71.19000244140625,2.84,1.69,14.56,21.38,2454247310.5150013,1890195863.3389995
2019-03,568939854.839,226511615.675,5088949131.656,1681629270.971,3082339102.18,4941891338.69,66.14,69.43000030517578,2.84,1.69,14.56,21.38,1890195863.3389995,3515411054.2720013
2019-04,832551915.489,187454394.319,5318099833.47,1442279187.092,3166296280.129,4171803393.405,71.23,69.81179809570312,2.84,1.69,14.56,21.38,3515411054.2720013,3433641181.429
2019-05,685372751.197,217510857.367,6036867766.952,1557208463.699,3456819275.935,4970699291.589,71.32,69.9800033569336,2.84,1.69,14.56,21.38,3433641181.429,3925126253.3709993
2019-06,537949108.584,217680375.924,5907801405.921,1180344863.183,3167789947.715,4290388969.742,64.22,69.32499694824219,2.84,1.69,14.56,21.38,3925126253.3709993,3499890695.389
2019-07,604748682.549,253225215.961,6187021476.51,1418245521.137,2905583671.902,4525992398.474,63.92,69.07749938964844,2.84,1.69,14.56,21.38,3499890695.389,3397130971.505
2019-08,490754885.281,269228667.874,6372964802.661,1510949489.403,2872308640.464,4558719199.624,59.04,71.6801986694336,2.84,1.69,14.56,21.38,3397130971.505,3501895711.3759995
2019-09,336490101.526,236177059.625,6441890929.721,1394189792.585,2782975707.201,4429094174.862,62.83,70.49870300292969,2.84,1.69,14.56,21.38,3501895711.3759995,2315750963.674
2019-10,484891283.833,291811514.219,5505303984.193,1479389333.794,2755352340.744,4658595797.083,59.71,70.98999786376953,2.84,1.69,14.56,21.38,2315750963.674,2150361537.6730003
